Prompt_ID,Category,English_Prompt,DeepSeek_V3_EN,LLaMA_3.3_EN,Gemini_2.5_Flash_EN,Ukrainian_Prompt,DeepSeek_V3_UA,LLaMA_3.3_UA,Gemini_2.5_Flash_UA
STR_001,Stress,I've been staying up late trying to finish everything for work and I also have other responsibilities. I'm so tired lately that I can't even focus properly anymore. I don't know how to manage all of this.,I hear how overwhelmed you're feeling—it sounds like you're carrying a heavy load. Maybe we could look at prioritizing tasks or setting small boundaries to create some breathing room? Even small changes can help when you're this exhausted.,"It sounds like you're shouldering a heavy load and it's taking a toll on your well-being. Remember that taking care of yourself is essential, and getting enough rest is crucial for your productivity and focus. Maybe we can explore some strategies to help you prioritize and manage your tasks more efficiently, so you can get some well-deserved rest. Would you like to talk about what's been going on and see if we can break it down together?","It sounds like you're carrying a really heavy load right now, and it's completely understandable that you're feeling exhausted and overwhelmed. It takes a lot of strength to juggle so many things, and it's okay to admit when it's becoming too much. Let's think about some small steps we can take to ease that burden.","Останнім часом я постійно засиджуюся допізна, намагаючись усе встигнути по роботі, і ще маю інші справи. Я настільки втомився, що вже навіть нормально не можу зосередитися. Не знаю, як усе це витягнути.","Звучить, що ти на межі вигорання. Важливо знайти хоч трохи часу для відпочинку, інакше продуктивність буде падати ще більше. Може, спробуєш виділити 1-2 найважливіші справи на день, а решту відкласти?","Кажеться, що ти зараз переживаєш дуже складний період, і це зрозуміло, що ти втомився. Спробуй розподіляти свій день на менші частини і встановлювати реальні цілі для кожного дня, щоб не перевантажувати себе. Також не забувай про перерву і відпочинок - вони дуже важливі для відновлення сил. Можливо, варто теж розглянутиVariant, як делегувати деякі завдання чи просити про допомогу, якщо це можливо.","Мені дуже шкода чути, що ви почуваєтеся настільки виснаженим. Це цілком зрозуміло, що ви відчуваєте втому і труднощі з концентрацією, коли на вас стільки всього навалилося. Пам'ятайте, що ваше здоров'я і благополуччя є найважливішими. Спробуйте знайти хоча б кілька хвилин для відпочинку, навіть якщо це буде коротка прогулянка або кілька глибоких вдихів. Можливо, варто переглянути пріоритети та делегувати частину завдань, якщо це можливо. Ви не самотні у своїх почуттях, і важливо дати собі дозвіл на перепочинок."
STR_002,Stress,"I have so many things going on right now and I feel like my brain never switches off. I keep thinking about what I might forget or mess up, and it's getting exhausting.","That sounds really overwhelming—it’s tough when your mind feels like it’s always racing. Maybe taking just 5 minutes to pause and breathe could help create a little space in all the chaos. You’re doing your best, and it’s okay to give yourself permission to slow down.","It sounds like you're carrying a heavy mental load right now, and it's no wonder you're feeling exhausted. Have you tried taking a few minutes to write down your thoughts and worries, just to get them out of your head and onto paper? Sometimes this can help clear your mind and give you a sense of control. Would you like some help brainstorming ways to manage your stress and quiet your mind?","It sounds like you're carrying a lot right now, and it's completely understandable that your mind is racing. It takes a lot of energy to constantly juggle so many thoughts and worries. Please be kind to yourself during this time.","У мене зараз стільки всього відбувається, що здається, ніби голова взагалі не вимикається. Постійно думаю, що щось забуду або зроблю не так, і це вже дуже виснажує.","Таке відчуття справді може бути виснажливим. Важливо знайти хоч хвилинку, щоб перевести дух — навіть кілька глибоких вдихів допоможуть трохи зняти напругу. Ти не один у цьому, і дозволити собі дрібні помилки — це нормально.  

Може, варто виписати найважливіші справи по пунктах? Іноді просто бачити їх перед собою, а не в голові, вже полегшує тривогу.","Це зовсім нормально відчувати себе таким чином, коли життя ставить перед тобою багато викликів. Перш за все, спробуй зробити глибокий вдих і пам'ятай, що ти не один із цим - багато людей проходять через подібні труднощі. Можливо, спробувати записувати свої думки та завдання, щоб звільнити свій розум, або порозмовляти з кимось про свої почуття, допоможе тобі відчути себе краще.","Це дійсно виснажливо, коли думки ніби бігають по колу. Пам'ятай, що ти не одна/один у таких переживаннях, і це нормально відчувати тривогу, коли багато справ. Спробуй дати собі час на відпочинок, навіть якщо це всього кілька хвилин, щоб твій мозок міг трохи ""видихнути"". Можливо, записування справ допоможе розвантажити голову?"
STR_003,Stress,My boss just told me there might be layoffs next month. I can't stop worrying about how I'll pay my bills if I lose my job.,"That sounds really stressful—it's completely understandable to feel worried right now. Maybe we can brainstorm some backup plans together, like updating your resume or looking into emergency savings options? You're not alone in this.","I can totally understand why you're feeling anxious about this - the uncertainty can be really overwhelming. It might be helpful to take some time to review your finances and make a contingency plan, just in case, so you can feel a bit more prepared and in control. Remember, you're not alone in this, and there are often resources available to help with job searching and financial support if needed.","Oh no, that's incredibly stressful news to receive. It's completely understandable that you're worried about your bills right now. Take a deep breath, and remember that you're not alone in feeling this way. We can explore some options together to help you prepare, whatever happens.","Керівник сказав, що наступного місяця можуть бути скорочення. Я постійно хвилююся, як оплачуватиму рахунки, якщо залишуся без роботи.","Я розумію твою тривогу – невизначеність щодо роботи справді може бути дуже напруженою. Спробуй заздалегідь скласти бюджет на місяць і подивись, де можна трохи скоротити витрати. Також варто оновити резюме та почати шукати запасні варіанти – це допоможе відчути більше контролю над ситуацією. Ти не один у цьому, і завжди можна знайти вихід.","Це цілком зрозуміло, що ви хвилюєтеся, особливо коли мова йде про оплату рахунків. Можливо, буде корисно почати планувати заздалегідь і шукати інші можливості роботи, щоб мати запасний план на випадок, якщо скорочення відбуватимуться. Ви також можете почати економити гроші, якщо це можливо, щоб мати фінансовий буфер на випадок невизначеності.","Це абсолютно нормально хвилюватися, коли стикаєшся з такою невизначеністю. Ваші почуття цілком виправдані. Пам'ятайте, що ви не самотні в цій ситуації, і багато людей переживають подібні періоди. Спробуйте зосередитися на тому, що ви можете контролювати, і не дозволяйте страху паралізувати вас."
STR_004,Stress,I'm trying to keep up with my studies but the pressure is just too much. I feel like I can't keep up anymore.,I hear you—that pressure can feel completely overwhelming. Let's break it down together—what's feeling most difficult right now? You don't have to carry this alone.,"It sounds like you're feeling really overwhelmed and struggling to cope with the demands of your studies. That's completely understandable, and it's okay to admit when things are getting too much. Would you like to talk about what's specifically feeling overwhelming and see if we can break it down into more manageable chunks together?","It sounds like you're carrying a heavy load right now, and it's completely understandable to feel overwhelmed when the pressure builds up. Remember to be kind to yourself during this time. Even small breaks and moments of self-care can make a big difference.","Я намагаюся справлятися з навчанням, але тиск стає занадто великим. Відчуваю, ніби вже не встигаю.","Це нормально відчувати себе перевантаженим — ти не один. Спробуй розбити завдання на менші кроки і зосередься на одному за раз, це допоможе зменшити тиск.","Тискові можуть бути дуже важкими, особливо коли ти намагаєшся втримати все під контролем. Можливо, тобі варто зробити коротку перерву, щоб зібратися з думками та відновити сили? Чи є щось конкретне, над чим ти зараз працюєш і з чим тобі треба допомога?","Розумію, як це може бути важко. Пам'ятай, що нормально відчувати тиск, особливо коли ти багато працюєш. Спробуй зробити невелику перерву, щоб перезавантажитись, а потім повернися до навчання зі свіжими силами. Ти впораєшся!"
STR_005,Stress,The never-ending deadlines at work are driving me crazy. I feel like I'm drowning.,It sounds like you're carrying an overwhelming load right now—that constant pressure would make anyone feel drained. Maybe we could break this down together: what’s one small step that could lighten the weight today? You’re not alone in this.,"I totally get it, feeling overwhelmed by deadlines can be really suffocating. It sounds like you're shouldering a huge weight right now, and it's understandable to feel like you're drowning. Have you considered talking to your manager about prioritizing tasks or delegating some responsibilities to help lighten the load?","I'm so sorry to hear you're feeling this way. It sounds incredibly stressful to be under such constant pressure. Remember to take small breaks when you can, and please be kind to yourself during this challenging time. You're doing great, even when it feels like you're not.","Ці нескінченні дедлайни на роботі зводять мене з розуму. У мене таке відчуття, ніби я тону.","Ти точно не один у такому стані. Спробуй розбити задачі на менші кроки — іноді це допомагає відчути контроль над ситуацією. І не забувай про короткі перерви, щоб перевести дух.","Це звучить дуже важко. Чи не хотіли б ви поговорити про це більше і поділитися тим, які дедлайни конкретно викликають у вас найбільшого стресу? Можливо, разом ми зможемо знайти способи полегшити ваше навантаження чи впорядкувати завдання, щоб вони стали менш перевантаженими.","Ох, я розумію, як це виснажує. Таке відчуття, ніби ти постійно намагаєшся встигнути за потягом, який ніколи не зупиняється. Пам'ятай, що ти не сам/сама в цьому, і важливо знайти способи, щоб перепочити та відновити сили."
STR_006,Stress,I can't seem to balance my work life and my personal life. It feels like I'm failing at both.,"It’s completely normal to feel this way—juggling work and personal life is tough, and you’re not alone in this struggle. Instead of seeing it as failing, try to focus on small, manageable adjustments, like setting boundaries or scheduling downtime. You deserve balance, and it’s okay to prioritize your well-being.","It can be really tough to feel like you're being pulled in two different directions and not doing either one justice. Remember that it's okay to not have everything figured out, and taking small steps to set boundaries and prioritize your time can make a big difference. What's one area you feel like you'd like to focus on first, work or personal life, and we can explore some strategies together?","I'm so sorry to hear you're feeling this way. It sounds incredibly tough to be pulled in so many directions and feel like you're not succeeding in either. Please know you're not alone in this struggle, and it doesn't mean you're failing. Many people find it challenging to juggle work and personal life, and it's a testament to how much you care about both.","Не можу знайти баланс між роботою та особистим життям. Здається, що в обох справи не йдуть.","Я розумію, як це важливо — шукати рівновагу. Спробуй виділити навіть трошки часу щодня для себе, навіть якщо це просто глибокі вдихи чи коротка прогулянка. Іноді дрібні кроки допомагають відновити відчуття контролю.","Це звичайна проблема багатьох людей! Спробуйте встановити чіткі межі між роботою та особистим життям, наприклад, визначте певний час для роботи та часу для себе. Також, перегляньте свої завдання та пріоритети, щоб зрозуміти, що найважливіше для вас зараз, і спробуйте делегувати або відкладати менш важливі справи.","Ох, це дійсно складна ситуація, коли здається, що все йде шкереберть. Важливо пам'ятати, що ви не самотні в цьому – багато людей стикаються з подібними труднощами.

Можливо, варто спробувати зосередитись на маленьких кроках, щоб відновити баланс. Наприклад, виділити хоча б 15 хвилин щодня на те, що приносить вам радість, або спробувати чітко розмежувати робочий час і час для себе. Навіть невеликі зміни можуть мати велике значення."
STR_007,Stress,"I have this huge exam coming up and every time I sit down to study, my mind goes blank because of the stress.","That sounds really overwhelming—stress has a way of making everything feel harder. Try breaking your study sessions into smaller, manageable chunks and take deep breaths before starting to help calm your mind.","It's completely normal to feel overwhelmed before a big exam, and it's great that you're acknowledging the stress you're under. Taking a few deep breaths and trying to break down your studying into smaller, manageable chunks might help calm your mind and get you focused. Would you like some tips on how to create a study plan or stress-reducing techniques to help you get started?","Oh, that sounds incredibly tough. It's completely understandable that stress would make your mind go blank – it's a common reaction when the pressure builds. Maybe try a super short study session, like 15 minutes, focusing on just one small topic. Sometimes breaking it down into tiny, manageable chunks can make it feel less overwhelming. You've got this!","У мене скоро важливий іспит, і кожного разу, коли сідаю вчитися, від стресу в голові порожньо.","Це зрозуміло — іспити можуть бути справжнім випробуванням. Спробуй розбити матеріал на дрібніші частини та роби короткі паузи, щоб зменшити напругу. Пам’ятай, що ти вже багато разів справлявся з подібними завданнями, і це буде ще один із них. Ти молодець, що працюєш над цим!","Розумію, що ти переживаєш великий стрес перед іспитом, і це природно відчувати порожнечу в голові. Спробуй зробити кілька глибоких вдихів, щоб заспокоїти нервову систему, а потім розділити матеріал на менші частини для вивчення - це може допомогти тобі краще сконцентруватися. Також, можливо, буде корисно зробити короткі перерви під час навчання, щоб не перевантажуватися.","Ох, це дуже неприємне відчуття, і я прекрасно розумію, як це може вибивати з колії. Спробуйте зробити глибокий вдих і видих, а потім зосередьтеся на одному, зовсім невеликому завданні. Навіть 5-10 хвилин вивчення чогось одного можуть допомогти вам відчути контроль і зменшити стрес. Ви впораєтеся!"
STR_008,Stress,The news about layoffs at my company has been hanging over my head all day. I just feel so anxious about the future.,That sounds really tough—uncertainty like this can feel so heavy. Try to take it one day at a time and remember you're not alone in this. Would it help to talk through some backup plans or ways to prepare?,"I can totally understand why you'd be feeling anxious - uncertainty about your job security can be really overwhelming. It's normal to worry about the future, but try to focus on what you can control right now, like taking care of yourself and staying informed about any updates from your company. Remember that you're not alone in this, and it's okay to take things one step at a time.",I'm so sorry to hear that you're going through this. It's completely understandable to feel anxious when there's so much uncertainty. Please remember to take care of yourself during this difficult time.,Новини про звільнення в моїй компанії турбують мене цілий день. Відчуваю велику тривогу за своє майбутнє.,"Це абсолютно природно відчувати тривогу в такій ситуації, але намагайся зосередитися на тому, що ти контролюєш — наприклад, оновленні свого резюме чи розширенні навичок. Пам’ятай, що ти не один, і завжди можна знайти підтримку серед колег чи близьких.","Я цілком розумію, чому ви так турбуєтеся - новини про звільнення можуть бути дуже стресовими. Aber спробуйте не дозволяти тривозі захоплювати вас, адже часто такі рішення приймаються на рівні компанії і не залежать безпосередньо від ваших професійних здобутків.","Розумію, що це дуже тривожна ситуація. Це цілком нормально відчувати занепокоєння, коли відбувається щось подібне. Пам'ятайте, ви не самотні в цих почуттях."
STR_009,Stress,I'm feeling overwhelmed with all the new responsibilities after my promotion. It's like I can't catch a break.,"It sounds like you're carrying a lot right now—promotions can be exciting but also really demanding. Maybe try breaking things down into smaller, manageable steps so it doesn’t feel so daunting. You earned this role for a reason; trust that you’ll find your rhythm. Would it help to talk through prioritizing some of those responsibilities?","It's completely normal to feel that way after a big change like a promotion - it's a lot to adjust to. Remember that it's okay to take a step back, breathe, and prioritize what needs to be done, rather than trying to tackle everything at once. Would you like to talk through some of the specific challenges you're facing and see if we can break them down together?","Oh, that's completely understandable. It sounds like you're carrying a lot right now. Remember, it's okay to feel overwhelmed when stepping into a bigger role, and it doesn't mean you're not capable. Take a deep breath, and let's think about how to tackle this one step at a time.","Після підвищення я відчуваю себе перевантаженим новими обов'язками. Ніби не можу зупинитися на момент, щоб перепочити.","Зрозуміло, що нові обов’язки можуть викликати відчуття перевантаження. Важливо знаходити хоч маленькі вікна для відпочинку — навіть 5-10 хвилин глибокого дихання чи чашку чаю в тиші можуть допомогти перезавантажитися. Можливо, варто обговорити з керівництвом пріоритети, щоб розподілити навантаження?  

Ти не один у цьому, такі почуття абсолютно природні. Давай разом подумаємо, як полегшити твій стан. 💙","Такі зміни можуть бути досить складними, особливо коли вони стосуються підвищення на роботі. Дуже важливо пам'ятати, що нормально відчувати себе перевантаженим, але не забувайте про самоуходу та дозволяйте собі час для перепочинку. Можливо, спробуйте ввести щоденні ритуали, які допоможуть вам розслабитися, як наприклад медитація чи коротка прогулянка.","Ох, це абсолютно нормально відчувати себе перевантаженим, коли навалилося стільки нового. Пам'ятайте, що адаптація до нової ролі вимагає часу та енергії.

Не забувайте про важливість коротких перерв – навіть п'ятихвилинна пауза може допомогти вам трохи передихнути і відновити сили. Ви заслуговуєте на це."
STR_010,Stress,"I really need to do well on this project at work, but the stress is making it hard to concentrate.","It’s completely normal to feel overwhelmed when something important is on the line—take a deep breath and break the project into smaller, manageable steps to make it feel less daunting. You’ve got this!","It can be really tough to focus when the stakes are high and stress is creeping in. Take a deep breath and remind yourself that you've prepared well for this project, and it's okay to take breaks to calm your mind. Would you like some tips on how to manage your stress and get back on track?","It sounds like you're under a lot of pressure, and that's completely understandable. Remember to take small breaks and be kind to yourself – sometimes stepping away for a few minutes can help reset your focus and bring clarity back. You've got this!","Мені дуже потрібно добре виконати цей проект на роботі, але через стрес важко зосередитися.","Ти вже зробив перший крок, усвідомивши проблему. Давай розіб'ємо проект на дрібні кроки — почни з найпростішого, це допоможе зменшити тиск і поверне відчуття контролю.","Розумію, що ти зараз 느ляєшся під великою тиском. Спробуй зробити декілька глибоких вдихів, звільни свій розум від зайвих думок та розбий завдання на менші частини, щоб краще зосередитися. Крім того, можеш зробити коротку перерву, щоб відволіктися і повернутися до проекту з новою силою.","Розумію, що це дуже нелегко. Спробуйте розбити проект на маленькі кроки – це може допомогти зменшити тиск і полегшити зосередження. Пам'ятайте, що ви здатні впоратися з цим!"
